code,name,industry,board,is_stage2,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,pullback_details,financial_pass,financial_score,market_cap_cny,pe_ttm,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason
002158,汉钟精机,C 制造业,深圳主板,True,2026-06-18,34.35,28.49,25.57,25.5,36.11,16.41,109.32,-4.87,3.43,51.92,700657065.0,21146830.0,118.13,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_valid': True, 'cup_high': 27.53, 'cup_low': 21.46, 'cup_depth_pct': 22.05, 'cup_days': 57, 'right_rim_price': 35.2, 'handle_valid': False, 'handle_high': 34.35, 'handle_low': 27.03, 'handle_depth_pct': 21.31, 'handle_days': 19, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': False, 'near_rim': True}",{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,13,0,39.1,中报,2026-08-31,"[-20.7, -20.35, 13.56]","[-45.64, -45.66, 2.68]","[17.35, 16.05, 17.67]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
002254,泰和新材,C 制造业,深圳主板,True,2026-06-18,18.7,13.47,11.95,11.5,18.92,9.19,103.48,-1.16,29.14,96.43,2064355695.0,115509410.0,116.84,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 4, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 15.57, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [12.97, 14.25, 27.41, 15.57], 'vcp_vols': [28717293.0, 25963247.83, 28799594.35, 49420219.12], 'vcp_resistance': 15.93}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,8,0,739.13,中报,2026-08-31,"[-6.5, -8.5, -0.61]","[-86.02, -81.12, 142.09]","[0.49, 0.15, 2.06]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
002203,海亮股份,C 制造业,深圳主板,True,2026-06-18,25.52,19.52,15.31,14.55,25.52,9.56,166.95,0.0,27.6,126.84,1942304619.0,78543474.0,113.0,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 22.28, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [17.34, 14.55, 22.28], 'vcp_vols': [51171367.28, 29657611.0, 47854520.26], 'vcp_resistance': 23.03}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,3,0,59.03,中报,2026-08-31,"[-4.52, -4.79, 17.12]","[16.87, 62.17, 60.18]","[1.41, 1.19, 2.12]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation
002119,康强电子,C 制造业,深圳主板,True,2026-06-18,34.51,24.1,21.32,20.35,35.42,14.83,132.7,-2.57,51.83,120.09,2917391557.0,85327051.0,112.43,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': False, 'high_trend_ok': False, 'vcp_tight_range': 12.05, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [29.51, 12.05], 'vcp_vols': [38654092.6, 42691690.8], 'vcp_resistance': 23.41}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,5,0,111.18,中报,2026-08-31,"[5.16, 11.96, 49.31]","[21.4, 40.01, -1.74]","[6.17, 5.3, 3.88]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation
002281,光迅科技,C 制造业,深圳主板,True,2026-06-18,266.2,177.57,106.74,96.11,266.2,42.26,529.91,0.0,22.5,326.94,10477798877.0,40967368.0,110.0,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}",{'reason': '柄部周期异常(21天)，标准1-4周'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 14.3, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [15.5, 14.3], 'vcp_vols': [39660343.56, 65985777.44], 'vcp_resistance': 236.4}","{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,10,0,230.44,中报,2026-08-31,"[58.65, 44.2, 24.79]","[53.7, 42.02, 58.84]","[8.17, 7.81, 8.38]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving"
002125,湘潭电化,C 制造业,深圳主板,True,2026-06-18,19.12,15.14,14.53,14.49,20.86,9.82,94.7,-8.34,37.16,48.68,1476946638.0,76972351.0,109.66,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_valid': False, 'cup_high': 15.24, 'cup_low': 12.36, 'cup_depth_pct': 18.9, 'cup_days': 88, 'right_rim_price': 18.67, 'handle_valid': False, 'handle_high': 19.9, 'handle_low': 18.06, 'handle_depth_pct': 9.25, 'handle_days': 6, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': False, 'near_rim': True}","{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 10.06, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [12.86, 18.68, 10.06], 'vcp_vols': [33204124.1, 24036807.72, 25995051.92], 'vcp_resistance': 15.5}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,8,0,56.02,中报,2026-08-31,"[1.36, 0.46, 0.33]","[-37.79, -29.57, 86.2]","[10.72, 11.18, 21.03]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
002297,博云新材,C 制造业,深圳主板,True,2026-06-18,28.36,21.35,14.59,13.13,29.24,7.21,293.34,-3.01,14.77,183.03,3292499350.0,117851025.0,106.99,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 32.76, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [12.03, 28.33, 32.76], 'vcp_vols': [62762773.5, 40917627.44, 107096774.33], 'vcp_resistance': 29.24}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,10,0,119.81,中报,2026-08-31,"[45.11, 27.77, 125.94]","[-96.11, 294.37, 19863.51]","[4.56, 6.64, 35.69]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving"
002283,天润工业,C 制造业,深圳主板,True,2026-06-18,11.07,10.96,8.51,8.03,13.24,5.31,108.47,-16.39,-3.57,91.52,471664379.0,43147400.0,98.61,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': False, 'vcp_vol_shrink': True, 'high_trend_ok': True, 'vcp_tight_range': 27.77, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [23.88, 27.77], 'vcp_vols': [60971859.0, 44200629.1], 'vcp_resistance': 12.64}","{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,15,0,34.93,中报,2026-08-31,"[4.85, 12.55, 26.44]","[3.86, 9.22, 47.48]","[9.56, 8.87, 11.41]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving"
002138,顺络电子,C 制造业,深圳主板,True,2026-06-18,71.16,43.15,38.56,37.54,72.24,25.19,182.49,-1.5,78.35,117.48,3630044395.0,52283993.0,98.5,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.False_}","{'cup_valid': True, 'cup_high': 42.53, 'cup_low': 32.15, 'cup_depth_pct': 24.41, 'cup_days': 67, 'right_rim_price': 61.23, 'handle_valid': False, 'handle_high': 71.16, 'handle_low': 55.63, 'handle_depth_pct': 21.82, 'handle_days': 7, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': False, 'near_rim': True}",{'reason': '首轮回调幅度过小，无洗盘意义'},"{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",False,0,0,50.3,中报,2026-08-31,"[19.95, 14.39, 15.34]","[24.14, 20.04, -24.1]","[17.36, 16.91, 11.74]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range
002192,融捷股份,B 采矿业,深圳主板,True,2026-06-18,87.09,85.88,65.66,58.88,115.0,27.93,211.82,-24.27,1.52,82.62,2505192004.0,28730732.0,95.0,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': False}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 33.35, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [18.23, 12.33, 33.35], 'vcp_vols': [14403103.9, 12474244.27, 26104977.67], 'vcp_resistance': 111.18}","{'ma10_pullback': False, 'ma50_pullback': False, 'volume_expanding': np.False_, 'price_above_ma10': True}",True,15,0,81.7,中报,2026-08-31,"[26.21, 49.71, 295.77]","[-20.33, 35.65, 1519.42]","[27.39, 32.46, 73.58]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; acceleration: rev+profit up, margin improving"
