code,name,industry,board,is_stage1,label,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,financial_pass,financial_score,is_transition,is_base_transition,is_high_quality_transition,stage2_core_count,transition_details,market_cap_cny,pe_ttm,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason,ma200_change_pct,vol_contraction_ratio,range_pct,pct_off_ma200
002757,南兴股份,C 制造业,深圳主板,True,高质量过渡态,2026-06-18,21.35,24.02,21.06,20.38,32.56,15.27,39.82,-34.43,-19.19,38.19,310240724.0,14579475.0,145.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': False, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 38.38, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': False, 'vcp_ranges': [26.64, 25.51, 38.38], 'vcp_vols': [56893367.62, 19597803.56, 19873023.17], 'vcp_resistance': 32.0}",True,8,True,True,True,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.True_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(2)}",0,51.27,中报,2026-08-31,"[-5.8, 2.4, -1.25]","[-64.12, -55.22, 3.42]","[3.87, 3.61, 5.44]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+4.8%）; 成交量萎缩; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,1.43,0.63,47.87,4.76
002652,扬子新材,C 制造业,深圳主板,True,高质量过渡态,2026-06-18,4.65,5.38,4.58,4.37,6.77,2.92,59.25,-31.31,-21.85,34.01,167318518.0,36635378.0,145.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': False, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': False, 'vcp_vol_shrink': True, 'high_trend_ok': True, 'vcp_tight_range': 29.53, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [24.19, 29.53], 'vcp_vols': [52268955.6, 32929239.64], 'vcp_resistance': 6.57}",True,8,True,True,True,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,,中报,2026-08-31,"[-14.64, -3.65, 26.78]","[-174.6, -228.94, -504.22]","[-6.83, -8.64, -3.59]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+6.4%）; 成交量萎缩; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,3.11,0.72,50.79,6.36
002648,卫星化学,C 制造业,深圳主板,True,纯筑底股,2026-06-18,21.65,25.61,22.17,21.3,29.72,15.43,40.31,-27.15,-10.98,35.91,1156837287.0,53071153.0,127.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,8,False,False,False,6,{'stage2_core_count': 6},0,13.75,中报,2026-08-31,"[7.73, 0.92, 2.82]","[1.82, -12.48, 35.05]","[10.8, 11.52, 16.7]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+1.7%）; 成交量萎缩; 价格波动收窄; 业绩加速,2.27,0.71,14.96,1.66
002763,汇洁股份,C 制造业,深圳主板,True,纯筑底股,2026-06-18,7.35,7.95,7.37,7.15,9.47,5.69,29.17,-22.39,-11.02,15.02,42705769.0,5798400.0,127.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 19.58, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [19.55, 19.58], 'vcp_vols': [10257760.67, 9347023.07], 'vcp_resistance': 9.14}",True,8,False,False,False,6,{'stage2_core_count': 6},0,20.47,中报,2026-08-31,"[2.4, 1.61, -2.27]","[1.36, -20.76, 18.4]","[6.62, 2.71, 13.9]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+2.7%）; 成交量萎缩; 价格波动收窄; 业绩加速,2.1,0.63,15.21,2.73
002633,申科股份,C 制造业,深圳主板,True,纯筑底股,2026-06-18,16.19,18.45,17.73,17.43,21.0,12.58,28.7,-22.9,-15.19,-2.76,25836785.0,1599650.0,126.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,13,False,False,False,5,{'stage2_core_count': 5},0,394.88,中报,2026-08-31,"[-4.27, -3.71, 6.69]","[-12.43, -24.83, 504.76]","[2.73, 1.65, 6.88]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-7.1%）; 成交量萎缩; 价格波动收窄; 业绩加速,0.33,0.72,23.3,-7.1
002628,成都路桥,E 建筑业,深圳主板,True,纯筑底股,2026-06-18,4.92,5.35,4.86,4.87,6.47,3.95,24.56,-23.96,-8.21,22.08,147828492.0,30247339.0,125.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,10,False,False,False,5,{'stage2_core_count': 5},0,277.97,中报,2026-08-31,"[0.88, 10.87, -26.7]","[-1805.26, 15.7, 202.86]","[-5.1, -8.83, 15.48]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+1.0%）; 成交量萎缩; 价格波动收窄; 业绩加速,-0.1,0.7,21.28,1.03
002752,昇兴股份,C 制造业,深圳主板,True,纯筑底股,2026-06-18,6.08,6.78,6.69,6.41,9.44,5.09,19.45,-35.59,-13.39,-16.25,75313201.0,12334130.0,121.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},True,8,False,False,False,4,{'stage2_core_count': 4},0,19.48,中报,2026-08-31,"[1.51, 0.61, 16.67]","[-37.92, -28.25, 59.8]","[4.29, 4.25, 7.99]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-5.2%）; 成交量萎缩; 价格波动收窄; 业绩加速,1.31,0.43,23.13,-5.16
002723,小崧股份,C 制造业,深圳主板,True,纯筑底股,2026-06-18,8.69,9.36,9.05,9.02,11.62,7.04,23.44,-25.22,-1.59,-6.76,277052147.0,32277800.0,118.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,3,False,False,False,4,{'stage2_core_count': 4},0,,中报,2026-08-31,"[-35.61, -34.27, -43.76]","[-290.0, -364.63]","[-8.88, -25.44, -15.63]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（-3.6%）; 成交量萎缩; 价格波动收窄,0.63,0.72,17.68,-3.64
002810,山东赫达,C 制造业,深圳主板,True,高质量过渡态,2026-06-18,23.7,25.0,19.33,17.84,29.63,11.12,113.13,-20.01,-8.56,90.36,275869490.0,11593953.0,116.03,"{'corrected_25pct': True, 'ma200_flattening': False, 'near_ma200': False, 'volume_contracting': True, 'tight_range': False, 'near_low': False, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,8,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': False, 'volume_turning_up': np.True_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,57.18,中报,2026-08-31,"[0.11, -2.28, 27.78]","[-29.65, -34.82, 133.1]","[9.7, 7.56, 17.65]",SEPA Stage 1: 从高点回调 ≥20%; 成交量萎缩; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,5.98,0.59,28.95,32.83
002734,利民股份,C 制造业,深圳主板,True,纯筑底股,2026-06-18,18.1,16.83,17.42,17.76,24.21,14.6,23.97,-25.24,9.96,20.67,826963304.0,47142037.0,114.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '非上升趋势，无标准杯柄'},{'reason': '不满足SEPA上升趋势前提'},False,0,False,False,False,3,{'stage2_core_count': 3},0,16.85,中报,2026-08-31,"[7.62, 6.83, 9.65]","[600.69, 446.97, 24.53]","[11.43, 11.29, 10.7]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+1.9%）; 成交量萎缩; 价格波动收窄,-2.19,0.53,24.11,1.91
