date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-01-15,9.96,10.0,9.8,9.82,8785200.0,86614235.0,740860235.0,0.011858107082775201
2025-01-16,9.89,10.03,9.74,9.83,10422900.0,103026398.0,740860235.0,0.014068645484799167
2025-01-17,9.79,9.96,9.75,9.88,7900900.0,77908706.0,740860235.0,0.010664494633053157
2025-01-20,9.96,10.09,9.9,10.01,10403786.0,104250205.0,740860235.0,0.014042845746741962
2025-01-21,10.08,10.09,9.86,9.98,7742900.0,76993952.0,740860235.0,0.010451229036472717
2025-01-22,9.93,9.98,9.84,9.9,6912440.0,68431896.0,740860235.0,0.009330288863458842
2025-01-23,10.03,10.15,9.85,9.86,14114400.0,141627210.0,740860235.0,0.019051366685917486
2025-01-24,9.85,9.97,9.81,9.97,9496425.0,94037625.0,740860235.0,0.01281810596839497
2025-01-27,10.0,10.07,9.76,9.76,11024825.0,108859960.0,740860235.0,0.014881113169746519
2025-02-05,9.86,10.07,9.81,10.0,13753000.0,136997231.0,740860235.0,0.01856355537829615
2025-02-06,9.99,10.32,9.89,10.3,17360788.0,176470993.0,740860235.0,0.023433283607130026
2025-02-07,10.3,10.54,10.25,10.42,20481800.0,213734437.0,740860235.0,0.027645970228109218
2025-02-10,10.47,10.49,10.39,10.45,14829381.0,154818951.0,740860235.0,0.020016435353693938
2025-02-11,10.45,10.45,10.29,10.41,11789100.0,122270634.0,740860235.0,0.015912718004091553
2025-02-12,10.38,10.53,10.32,10.52,13724383.0,143703479.0,740860235.0,0.01852492865945221
2025-02-13,10.55,10.63,10.41,10.41,14264728.0,149887017.0,740860235.0,0.019254276753023464
2025-02-14,10.39,10.49,10.27,10.46,13026930.0,135118301.0,740860235.0,0.01758351897507362
2025-02-17,10.52,10.67,10.38,10.44,13676408.0,143689754.0,740860235.0,0.0184601728556804
2025-02-18,10.44,10.44,10.02,10.09,14429900.0,147602288.0,740860235.0,0.019477222987949946
2025-02-19,10.08,10.31,10.03,10.3,12355801.0,126356199.0,740860235.0,0.016677640958824035
2025-02-20,10.38,10.52,10.24,10.52,17910302.0,186716893.0,740860235.0,0.02417500785421423
2025-02-21,10.52,10.62,10.41,10.59,14839944.0,156338519.0,740860235.0,0.020030693103672923
2025-02-24,10.59,10.85,10.56,10.76,25530642.0,274379463.0,740860235.0,0.03446080757728885
2025-02-25,10.62,10.92,10.56,10.81,23017943.0,248499156.0,740860235.0,0.031069211050313694
2025-02-26,10.8,10.89,10.73,10.81,18729597.0,202404856.0,740860235.0,0.025280877708330506
2025-02-27,10.77,10.82,10.48,10.7,17280799.0,183995208.0,740860235.0,0.023325315874187794
2025-02-28,10.62,10.66,10.28,10.33,15421618.0,160889082.0,740860235.0,0.020815826348137043
2025-03-03,10.35,10.47,10.26,10.34,13359879.0,138790125.0,740860235.0,0.01803292762770565
2025-03-04,10.32,10.72,10.29,10.66,19557295.0,206987813.0,740860235.0,0.026398089782750992
2025-03-05,10.71,10.79,10.57,10.74,15479669.0,165611675.0,740860235.0,0.020894182557928756
2025-03-06,10.82,10.87,10.71,10.81,18638385.0,201583157.0,740860235.0,0.025157761369119777
2025-03-07,10.76,10.97,10.69,10.76,21017693.0,227898439.0,740860235.0,0.028369309091073026
2025-03-10,10.79,10.87,10.68,10.76,13302100.0,143189667.0,740860235.0,0.017954938558687794
2025-03-11,10.61,10.9,10.57,10.87,14329699.0,154467468.0,740860235.0,0.0193419734560325
2025-03-12,10.87,10.96,10.79,10.81,15802609.0,171431657.0,740860235.0,0.021330081239952094
2025-03-13,10.81,10.85,10.53,10.7,14927749.0,158700780.0,740860235.0,0.020149210734734604
2025-03-14,10.7,10.77,10.5,10.76,14986100.0,159994297.0,740860235.0,0.02022797187920337
2025-03-17,10.78,10.83,10.65,10.67,12740600.0,136518372.0,740860235.0,0.01719703582147313
2025-03-18,10.67,10.84,10.65,10.69,12440500.0,133307991.0,740860235.0,0.016791966166195976
2025-03-19,10.65,10.68,10.56,10.59,10404100.0,110181005.0,740860235.0,0.014043269578370609
2025-03-20,10.54,10.76,10.51,10.62,12881602.0,137182796.0,740860235.0,0.017387357819251832
2025-03-21,10.58,10.72,10.4,10.47,12937894.0,136518022.0,740860235.0,0.01746333976205377
2025-03-24,10.46,10.53,9.92,10.13,17339119.0,176054442.0,740860235.0,0.0234040351754066
2025-03-25,10.09,10.37,10.04,10.22,13763700.0,141369914.0,740860235.0,0.01857799804844432
2025-03-26,10.19,10.33,10.17,10.25,6984011.0,71678539.0,740860235.0,0.00942689412936301
2025-03-27,10.2,10.34,10.02,10.27,8472100.0,86542293.0,740860235.0,0.011435490258159152
2025-03-28,10.2,10.32,10.01,10.02,8960100.0,90434250.0,740860235.0,0.012094183999496208
2025-03-31,9.96,10.03,9.83,9.93,10338096.0,102537132.0,740860235.0,0.013954178550290259
2025-04-01,9.97,10.19,9.94,10.07,10060220.0,101497200.0,740860235.0,0.013579106455889079
2025-04-02,10.02,10.1,9.94,10.04,6451843.0,64670025.0,740860235.0,0.008708583205305924
2025-04-03,9.98,10.13,9.92,9.98,7417143.0,74200362.0,740860235.0,0.010011528017831865
2025-04-07,9.35,9.55,8.98,8.98,13436200.0,122647904.0,740860235.0,0.0181359443593298
2025-04-08,8.98,9.07,8.52,8.7,23838003.0,208364645.0,740860235.0,0.03217611348785645
2025-04-09,8.56,9.23,8.3,9.18,22042505.0,196703857.0,740860235.0,0.029752582145267926
2025-04-10,9.26,9.4,9.14,9.26,15837600.0,146992474.0,740860235.0,0.02137731147090112
2025-04-11,9.23,9.48,9.18,9.38,12314206.0,115086045.0,740860235.0,0.016621496765850848
2025-04-14,9.45,9.52,9.39,9.45,10845929.0,102359202.0,740860235.0,0.014639642523127185
2025-04-15,9.44,9.44,9.22,9.31,8824602.0,82067065.0,740860235.0,0.011911291203259141
2025-04-16,9.33,9.51,9.1,9.29,10287977.0,95920365.0,740860235.0,0.013886528813359783
2025-04-17,9.18,9.47,9.18,9.32,11109566.0,103869782.0,740860235.0,0.014995495067973246
2025-04-18,9.32,9.36,9.19,9.27,6597169.0,61082045.0,740860235.0,0.008904741661563196
2025-04-21,9.29,9.49,9.24,9.47,9128900.0,86076125.0,740860235.0,0.0123220272444505
2025-04-22,9.46,9.5,9.39,9.48,7147000.0,67487710.0,740860235.0,0.009646893789622815
2025-04-23,9.47,9.64,9.44,9.56,11353200.0,108123796.0,740860235.0,0.01532434791833577
2025-04-24,9.52,9.52,9.21,9.33,13633400.0,127240919.0,740860235.0,0.0184021214203783
2025-04-25,9.32,9.39,9.22,9.32,8320125.0,77520589.0,740860235.0,0.011230357099676163
2025-04-28,9.28,9.34,9.1,9.13,6814400.0,62503592.0,740860235.0,0.009197956210998422
2025-04-29,9.1,9.23,9.1,9.15,5137700.0,47149716.0,740860235.0,0.006934776300957764
2025-04-30,9.16,9.28,9.15,9.23,5732700.0,53021985.0,740860235.0,0.00773789674377651
2025-05-06,9.25,9.48,9.25,9.48,8554284.0,80432270.0,740860235.0,0.011546420763155145
2025-05-07,9.58,9.84,9.56,9.73,18862134.0,182698776.0,740860235.0,0.025459773799305075
2025-05-08,9.79,10.05,9.7,10.04,24524682.0,243384812.0,740860235.0,0.03310298061819987
2025-05-09,10.2,10.3,9.82,9.88,18004526.0,179223362.0,740860235.0,0.024302189737582556
2025-05-12,9.89,10.26,9.82,10.1,23097900.0,233302587.0,740860235.0,0.03117713559022371
2025-05-13,10.15,10.19,9.94,9.96,13779900.0,138311871.0,740860235.0,0.018599864521005097
2025-05-14,9.91,10.06,9.87,9.89,10762100.0,106817650.0,740860235.0,0.014526491626318694
2025-05-15,9.88,9.93,9.71,9.74,8509879.0,83323583.0,740860235.0,0.011486483682040244
2025-05-16,9.74,9.92,9.73,9.73,7715500.0,75742341.0,740860235.0,0.01041424500263535
2025-05-19,9.8,9.83,9.63,9.83,7781146.0,75940910.0,740860235.0,0.01050285280866775
2025-05-20,9.84,9.86,9.72,9.75,9645437.0,94070362.0,740860235.0,0.013019239722050949
2025-05-21,9.71,9.95,9.63,9.79,15310200.0,149521808.0,740860235.0,0.02066543630864464
2025-05-22,9.83,10.77,9.83,10.77,54189316.0,567874009.0,740860235.0,0.0731437772469999
2025-05-23,10.77,10.79,10.32,10.37,72779610.0,763722588.0,740860235.0,0.09823662623760607
2025-05-26,10.24,10.39,10.16,10.27,37325216.0,383885990.0,740860235.0,0.05038091428945434
2025-05-27,10.27,10.45,10.11,10.39,40023671.0,411393389.0,740860235.0,0.05402324096933074
2025-05-28,10.32,10.42,10.21,10.38,32901946.0,339075626.0,740860235.0,0.04441046292624951
2025-05-29,10.46,10.52,10.26,10.49,41254841.0,430992840.0,740860235.0,0.05568505239048226
2025-05-30,10.39,10.63,10.34,10.56,37443195.0,393052655.0,740860235.0,0.05054016025033386
2025-06-03,10.63,11.02,10.47,11.02,64752910.0,698658063.0,740860235.0,0.08740232899664267
2025-06-04,10.87,10.91,10.7,10.78,37461102.0,403687787.0,740860235.0,0.05056433080120706
2025-06-05,10.78,10.79,10.55,10.79,26165368.0,278896201.0,740860235.0,0.03531754947004275
2025-06-06,10.84,10.95,10.39,10.41,33858927.0,359926578.0,740860235.0,0.045702178900180815
2025-06-09,10.4,10.57,10.38,10.43,19225185.0,200803305.0,740860235.0,0.02594981359743245
2025-06-10,10.42,10.45,10.17,10.29,20903167.0,215430095.0,740860235.0,0.028214723928326375
2025-06-11,10.29,10.38,10.21,10.36,13565437.0,140060217.0,740860235.0,0.0183103861688568
2025-06-12,10.4,10.57,10.27,10.5,18778921.0,196219391.0,740860235.0,0.025347454368366794
2025-06-13,10.6,10.64,10.25,10.39,20246185.0,210376931.0,740860235.0,0.02732794128166428
2025-06-16,10.31,10.39,10.27,10.35,11185137.0,115489230.0,740860235.0,0.015097499462904767
2025-06-17,10.29,10.34,10.13,10.29,14760200.0,150916989.0,740860235.0,0.019923056067383614
2025-06-18,10.2,10.38,10.16,10.32,13157047.0,135556312.0,740860235.0,0.017759148592986638
2025-06-19,10.3,10.3,9.99,10.07,16865859.0,170256279.0,740860235.0,0.02276523722453534
2025-06-20,10.02,10.1,9.96,10.03,8507800.0,85320723.0,740860235.0,0.011483677484728276
2025-06-23,10.09,10.33,10.03,10.31,14994500.0,153055650.0,740860235.0,0.02023931005016081
2025-06-24,10.26,10.4,10.18,10.36,14634825.0,151121150.0,740860235.0,0.01975382711693252
2025-06-25,10.36,10.55,10.34,10.54,21746178.0,228297688.0,740860235.0,0.029352605218445824
2025-06-26,10.54,10.72,10.48,10.5,28392699.0,301055840.0,740860235.0,0.038323961333948504
2025-06-27,10.46,10.63,10.46,10.51,16199310.0,170513875.0,740860235.0,0.021865541211022077
2025-06-30,10.56,10.88,10.51,10.82,35298373.0,380248720.0,740860235.0,0.04764511757065758
2025-07-01,10.78,10.82,10.63,10.73,21126936.0,226216479.0,740860235.0,0.028516763354156805
2025-07-02,10.65,10.72,10.48,10.58,20449092.0,216688221.0,740860235.0,0.027601821550052554
2025-07-03,10.56,10.98,10.53,10.7,25848165.0,278390529.0,740860235.0,0.0348893944888269
2025-07-04,10.63,10.67,10.47,10.5,18715441.0,197175511.0,740860235.0,0.025261770190702703
2025-07-07,10.44,10.54,10.43,10.52,9901428.0,103962907.0,740860235.0,0.013364771831761223
2025-07-08,10.49,10.58,10.47,10.55,12186452.0,128332671.0,740860235.0,0.016449056683410738
2025-07-09,10.55,10.68,10.47,10.52,15450537.0,163360082.0,740860235.0,0.020854860701222545
2025-07-10,10.48,10.55,10.4,10.54,12619300.0,132109848.0,740860235.0,0.017033307233718653
2025-07-11,10.55,10.7,10.53,10.66,18637464.0,198122319.0,740860235.0,0.02515651821966123
2025-07-14,10.65,10.75,10.6,10.65,14872516.0,158640739.0,740860235.0,0.020074658211342657
2025-07-15,10.61,10.65,10.35,10.43,18981954.0,198400341.0,740860235.0,0.02562150470931943
2025-07-16,10.42,10.53,10.4,10.45,8438000.0,88333755.0,740860235.0,0.01138946268320097
2025-07-17,10.45,10.74,10.45,10.72,22221500.0,236857571.0,740860235.0,0.029994186420330686
2025-07-18,10.71,10.78,10.63,10.73,14818702.0,158484913.0,740860235.0,0.020002021028973162
2025-07-21,10.73,10.79,10.7,10.78,15506605.0,166683505.0,740860235.0,0.020930540292798953
2025-07-22,10.82,10.95,10.77,10.86,23518555.0,255348034.0,740860235.0,0.031744928245473994
2025-07-23,10.83,11.66,10.69,11.18,63016593.0,704712522.0,740860235.0,0.08505867911779609
2025-07-24,11.2,11.28,11.07,11.17,37076805.0,414005779.0,740860235.0,0.050045613529250896
2025-07-25,11.14,11.17,11.04,11.07,21725588.0,240737350.0,740860235.0,0.029324813201777527
2025-07-28,11.1,11.19,11.04,11.11,21833697.0,242758201.0,740860235.0,0.02947073681178205
2025-07-29,11.11,11.14,10.98,11.14,19101609.0,211139282.0,740860235.0,0.02578301290526141
2025-07-30,11.15,11.24,10.93,11.1,24745973.0,274845815.0,740860235.0,0.03340167528359786
2025-07-31,11.05,11.17,10.97,11.01,19893461.0,220160285.0,740860235.0,0.026851840684903275
2025-08-01,10.94,11.18,10.81,11.01,20109499.0,220456218.0,740860235.0,0.02714344494410609
2025-08-04,10.89,11.24,10.85,11.22,28499682.0,318355630.0,740860235.0,0.038468365089131824
2025-08-05,11.21,11.4,11.16,11.33,27233600.0,308032663.0,740860235.0,0.03675943006982957
2025-08-06,11.3,11.45,11.28,11.43,26260874.0,299354554.0,740860235.0,0.035446461774264346
2025-08-07,11.45,11.45,11.28,11.38,21766252.0,246997255.0,740860235.0,0.029379700747469595
2025-08-08,11.33,11.45,11.28,11.33,19247090.0,218614560.0,740860235.0,0.025979380577768493
2025-08-11,11.34,11.43,11.32,11.34,19212271.0,218564532.0,740860235.0,0.025932382509367642
2025-08-12,11.34,11.41,11.21,11.27,17656131.0,199273969.0,740860235.0,0.0238319323482114
2025-08-13,11.28,11.44,11.26,11.36,18753544.0,212977711.0,740860235.0,0.02531320094403501
2025-08-14,11.36,11.6,11.1,11.1,25443788.0,286589340.0,740860235.0,0.03434357358915342
2025-08-15,11.1,11.22,11.05,11.21,15963401.0,178445869.0,740860235.0,0.021547115428593628
2025-08-18,11.22,11.37,11.22,11.31,18435168.0,208308157.0,740860235.0,0.02488346266823188
2025-08-19,11.35,11.51,11.13,11.45,27713353.0,312937222.0,740860235.0,0.03740699215689448
2025-08-20,11.78,12.52,11.49,12.03,92592406.0,1110355745.0,740860235.0,0.12497958673676149
2025-08-21,12.21,13.23,12.01,12.93,157004468.0,2017196882.0,740860235.0,0.21192184515072535
2025-08-22,12.4,12.88,12.2,12.65,111498419.0,1391854416.0,740860235.0,0.15049858763171436
2025-08-25,12.66,12.76,12.35,12.62,79304091.0,995837707.0,740860235.0,0.10704325492648421
2025-08-26,12.55,12.75,12.31,12.62,59369142.0,744637925.0,740860235.0,0.08013541447530924
2025-08-27,12.54,12.56,12.05,12.09,49858393.0,616300729.0,740860235.0,0.06729797422586731
2025-08-28,12.41,12.77,12.28,12.62,67701177.0,848831373.0,740860235.0,0.09138184748166434
2025-08-29,12.6,12.75,12.43,12.54,41134301.0,516595474.0,740860235.0,0.05552234963724298
2025-09-01,12.64,12.98,12.49,12.91,63518561.0,812349304.0,740860235.0,0.08573622661769666
2025-09-02,12.86,12.89,12.19,12.4,44695000.0,554987900.0,740860235.0,0.060328517969384605
2025-09-03,12.4,12.49,11.57,11.63,45079916.0,536833273.0,740860235.0,0.060848070756557744
2025-09-04,11.61,11.73,11.2,11.39,30153335.0,345891826.0,740860235.0,0.04070043656749913
2025-09-05,11.41,11.82,11.35,11.79,23159758.0,269513302.0,740860235.0,0.031260630421067206
2025-09-08,11.85,12.11,11.65,12.05,27884147.0,330716242.0,740860235.0,0.037637526867668906
2025-09-09,12.06,12.13,11.78,11.83,24486115.0,292398439.0,740860235.0,0.03305092356590039
2025-09-10,11.83,12.19,11.78,11.92,25151604.0,301955294.0,740860235.0,0.0339491888102214
2025-09-11,11.85,12.35,11.7,12.3,34300071.0,415431004.0,740860235.0,0.046297627244091456
2025-09-12,12.24,12.33,12.11,12.12,22216671.0,271324689.0,740860235.0,0.029987668321812412
2025-09-15,12.19,12.3,11.97,11.99,16272011.0,196198142.0,740860235.0,0.02196367173087647
2025-09-16,11.96,12.26,11.9,12.14,19811355.0,240165979.0,740860235.0,0.026741015462923314
2025-09-17,12.07,12.42,12.01,12.42,28439870.0,349135837.0,740860235.0,0.03838763191278582
2025-09-18,12.34,12.52,11.92,12.03,34426451.0,423149698.0,740860235.0,0.046468212725710674
2025-09-19,12.1,12.55,12.08,12.26,33209048.0,410741072.0,740860235.0,0.04482498375688904
2025-09-22,12.21,12.32,12.1,12.23,16756985.0,204512933.0,740860235.0,0.022618281031104335
2025-09-23,12.23,12.25,11.6,11.92,27809003.0,328641166.0,740860235.0,0.037536098829761055
