code,name,industry,board,is_stage1,label,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,financial_pass,financial_score,is_transition,is_base_transition,is_high_quality_transition,stage2_core_count,transition_details,market_cap_cny,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason,ma200_change_pct,vol_contraction_ratio,range_pct,pct_off_ma200,scanned_at
603558,健盛集团,Unknown,上海主板,True,高质量过渡态,2026-06-12,12.01,12.73,12.0,11.44,15.25,8.27,45.22,-21.25,-10.1,6.66,53098130.0,4463100.0,171.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '柄部周期异常(53天)，标准1-4周'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,15,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[-1.94, 0.59, 2.79]","[17.25, 24.62, 51.92]","[16.36, 15.64, 15.86]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+5.0%）; 成交量萎缩; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.48,0.62,20.27,5.0,2026-06-14 22:33:00
300445,康斯特,C 制造业,创业板,True,高质量过渡态,2026-06-12,22.76,22.57,22.64,21.72,29.57,15.57,46.18,-23.03,-4.57,8.59,143103715.0,6161400.0,168.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}","{'cup_valid': False, 'cup_high': 28.89, 'cup_low': 18.22, 'cup_depth_pct': 36.93, 'cup_days': 85, 'right_rim_price': 25.38, 'handle_valid': False, 'handle_high': 24.88, 'handle_low': 22.76, 'handle_depth_pct': 8.52, 'handle_days': 14, 'volume_contracting': False, 'price_breakout': False, 'volume_breakout': False, 'near_rim': False}","{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': False, 'high_trend_ok': False, 'vcp_tight_range': 10.32, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': False, 'vcp_ranges': [36.93, 10.32], 'vcp_vols': [6314607.69, 6127869.33], 'vcp_resistance': 25.38}",True,8,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[9.99, 2.49, 24.56]","[5.38, -16.9, 52.05]","[23.62, 17.87, 23.43]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+4.8%）; 成交量萎缩; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.47,0.82,20.4,4.81,2026-06-14 22:33:00
000758,中色股份,B 采矿业,深圳主板,True,高质量过渡态,2026-06-12,6.96,6.91,6.92,6.86,9.53,4.7,48.09,-26.97,-1.56,13.73,498245349.0,73391392.0,167.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': True, 'high_trend_ok': False, 'vcp_tight_range': 18.15, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': False, 'vcp_ranges': [32.3, 18.15], 'vcp_vols': [81149818.18, 50870744.76], 'vcp_resistance': 7.66}",True,13,True,True,True,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[-0.21, 13.48, 27.03]","[18.71, -1.38, 8.12]","[7.61, 5.07, 9.07]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+1.5%）; 成交量萎缩; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,1.05,0.61,18.21,1.45,2026-06-14 22:33:00
002763,汇洁股份,C 制造业,深圳主板,True,高质量过渡态,2026-06-12,7.68,7.92,7.35,7.13,9.47,5.69,34.97,-18.9,-6.57,13.11,39794499.0,5259845.0,167.45,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 17.72, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [19.55, 17.72], 'vcp_vols': [10257760.67, 10414762.48], 'vcp_resistance': 9.14}",True,8,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[2.4, 1.61, -2.27]","[1.36, -20.76, 18.4]","[6.62, 2.71, 13.9]",SEPA Stage 1: MA200 走平; 贴近MA200（+7.7%）; 成交量萎缩; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.41,0.78,20.24,7.71,2026-06-14 22:33:00
000612,焦作万方,C 制造业,深圳主板,True,高质量过渡态,2026-06-12,11.43,12.15,11.8,11.01,15.19,7.04,62.36,-24.75,-1.38,19.31,850467892.0,74905149.0,166.0,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': True, 'near_low': False, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': True, 'high_trend_ok': False, 'vcp_tight_range': 22.34, 'vcp_vol_dry_up': np.True_, 'vcp_breakout': False, 'vcp_ranges': [15.1, 28.83, 22.34], 'vcp_vols': [112816746.5, 60681944.25, 44515386.85], 'vcp_resistance': 13.43}",True,10,True,True,True,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[4.03, 0.46, 18.49]","[71.58, 81.95, 216.46]","[18.19, 16.49, 29.07]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+3.8%）; 成交量萎缩; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.97,0.73,23.48,3.84,2026-06-14 22:33:00
000301,东方盛虹,C 制造业,深圳主板,True,高质量过渡态,2026-06-12,11.88,12.17,11.37,10.9,14.7,8.04,47.76,-19.18,-8.76,28.29,266761899.0,22656081.0,153.14,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,15,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[-14.9, -8.78, 5.65]","[42.96, 27.65, 314.75]","[0.12, 0.09, 4.52]",SEPA Stage 1: MA200 走平; 成交量萎缩; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.99,0.59,15.43,8.98,2026-06-14 22:33:00
000408,藏格矿业,C 制造业,深圳主板,True,高质量过渡态,2026-06-12,79.47,82.65,77.7,71.71,95.62,34.74,128.76,-16.89,-5.07,15.48,1515731840.0,19099178.0,149.94,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': False, 'not_in_stage2': True}",{'reason': '柄部周期异常(22天)，标准1-4周'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 3, 'vcp_tighten': False, 'vcp_vol_shrink': True, 'high_trend_ok': False, 'vcp_tight_range': 19.82, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [13.81, 18.91, 19.82], 'vcp_vols': [25750043.17, 20295248.83, 14714865.68], 'vcp_resistance': 91.11}",True,15,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[3.35, 10.03, 29.61]","[47.44, 49.35, 110.46]","[114.21, 107.28, 219.28]",SEPA Stage 1: MA200 走平; 成交量萎缩; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,4.77,0.81,18.31,10.83,2026-06-14 22:33:00
000951,中国重汽,C 制造业,深圳主板,True,高质量过渡态,2026-06-12,21.81,22.86,20.01,19.36,26.85,16.0,36.31,-18.77,-1.93,28.07,263002283.0,12004496.0,149.39,"{'corrected_25pct': False, 'ma200_flattening': True, 'near_ma200': False, 'volume_contracting': True, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '柄部周期异常(41天)，标准1-4周'},{'reason': '首轮回调幅度过小，无洗盘意义'},True,12,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[20.55, 28.51, 52.3]","[18.78, 28.32, 69.48]","[3.67, 4.15, 3.71]",SEPA Stage 1: MA200 走平; 成交量萎缩; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,1.89,0.69,15.1,12.63,2026-06-14 22:33:00
002591,恒大高新,C 制造业,深圳主板,True,高质量过渡态,2026-06-12,7.19,7.68,7.4,7.08,9.5,5.36,34.14,-24.32,-19.66,5.43,69085149.0,9580200.0,147.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': True, 'tight_range': False, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 2, 'vcp_tighten': True, 'vcp_vol_shrink': True, 'high_trend_ok': True, 'vcp_tight_range': 21.82, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [29.6, 21.82], 'vcp_vols': [20192373.62, 15324156.11], 'vcp_resistance': 9.12}",True,13,True,True,True,7,"{'stage2_core_count': 7, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[-23.53, -14.21, 121.1]","[-143.27, -121.05, 214.57]","[-1.27, -7.08, 3.35]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+1.6%）; 成交量萎缩; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.37,0.81,35.91,1.59,2026-06-14 22:33:00
001287,中电港,F 批发零售,深圳主板,True,高质量过渡态,2026-06-12,24.95,26.79,24.73,24.11,31.86,16.79,48.6,-21.69,-12.21,10.4,893019010.0,34644262.0,146.5,"{'corrected_25pct': True, 'ma200_flattening': True, 'near_ma200': True, 'volume_contracting': False, 'tight_range': True, 'near_low': True, 'not_in_stage2': True}",{'reason': '杯底位置异常，非有效U型'},"{'vcp_valid': False, 'vcp_status': '构筑中', 'vcp_contractions': 4, 'vcp_tighten': False, 'vcp_vol_shrink': False, 'high_trend_ok': True, 'vcp_tight_range': 18.57, 'vcp_vol_dry_up': np.False_, 'vcp_breakout': False, 'vcp_ranges': [13.79, 11.62, 16.2, 18.57], 'vcp_vols': [32608869.0, 18416924.0, 33442723.38, 44093685.64], 'vcp_resistance': 30.64}",True,15,True,True,True,8,"{'stage2_core_count': 8, 'is_base_transition': np.True_, 'is_high_quality_transition': True, 'ma200_turning_up': True, 'volume_turning_up': np.False_, 'pattern_ready': False, 'financial_ready': True, 'rps_120_ready': True, 'tech_signal_count': np.int64(1)}",0,中报,2026-08-31,"[33.29, 34.72, 70.93]","[73.06, 19.9, 87.38]","[0.51, 0.43, 0.53]",SEPA Stage 1: 从高点回调 ≥20%; MA200 走平; 贴近MA200（+3.5%）; 价格波动收窄; 业绩加速; 高质量过渡态：技术面+业绩+RPS三重共振,2.57,1.21,17.64,3.49,2026-06-14 22:33:00
