code,name,industry,board,is_stage2,date,close,ma50,ma150,ma200,52w_high,52w_low,pct_above_52w_low,pct_below_52w_high,return_20d_pct,return_120d_pct,amount_cny,volume,score,conditions,cup_handle_details,vcp_details,pullback_details,financial_pass,financial_score,market_cap_cny,next_report_period,next_report_deadline,rev_growth,profit_growth,profit_margin,matched_reason
002768,国恩股份,C 制造业,深圳主板,True,2026-06-12,69.94,57.22,54.82,53.1,70.31,24.81,181.9,-0.53,12.23,29.35,576862654.0,8404449.0,124.47,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_high': 62.32, 'handle_low': 61.46, 'handle_depth_pct': 12.12, 'cup_depth_pct': 27.63, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': False}","{'vcp_contractions': 2, 'vcp_vol_declining': False, 'vcp_tight_range': 18.17, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(15.82), np.float64(19.44)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,15,0,中报,2026-08-31,"[9.44, 10.57, 21.86]","[27.23, 16.12, 138.95]","[4.0, 3.87, 5.05]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
301323,新莱福,C 制造业,创业板,True,2026-06-12,103.78,73.81,62.31,61.17,103.78,39.6,162.07,0.0,39.92,89.14,709019802.0,7150651.0,123.0,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_high': 76.63, 'handle_low': 77.4, 'handle_depth_pct': 25.42, 'cup_depth_pct': 38.93, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': True}","{'vcp_contractions': 2, 'vcp_vol_declining': True, 'vcp_tight_range': 40.13, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(11.6), np.float64(24.12)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,13,0,中报,2026-08-31,"[8.7, 10.27, 32.89]","[-4.04, -6.66, 31.97]","[14.54, 13.97, 14.45]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
300334,津膜科技,C 制造业,创业板,True,2026-06-12,13.41,8.13,7.75,7.62,13.49,6.31,112.52,-0.59,58.51,84.71,703636073.0,54205533.0,122.41,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_high': 8.63, 'handle_low': 7.27, 'handle_depth_pct': 45.79, 'cup_depth_pct': 21.09, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': True}","{'vcp_contractions': 2, 'vcp_vol_declining': False, 'vcp_tight_range': 89.47, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(2.3), np.float64(16.42)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,13,0,中报,2026-08-31,"[-3.71, -1.48, 81.24]","[-38.36, -438.36, 12.98]","[1.73, -13.22, 2.56]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
002832,比音勒芬,C 制造业,深圳主板,True,2026-06-12,21.37,18.61,16.35,16.18,21.46,14.25,49.96,-0.42,4.6,43.04,419697482.0,20064860.0,119.24,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_high': 20.43, 'handle_low': 18.64, 'handle_depth_pct': 12.77, 'cup_depth_pct': 29.56, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': True}","{'vcp_contractions': 2, 'vcp_vol_declining': False, 'vcp_tight_range': 16.57, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(4.07), np.float64(3.78)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,13,0,中报,2026-08-31,"[6.71, 7.73, 18.36]","[-18.7, -29.45, 16.53]","[19.35, 12.77, 25.37]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
300331,苏大维格,C 制造业,创业板,True,2026-06-12,65.91,52.04,43.36,40.29,69.0,20.13,227.42,-4.48,20.6,115.11,1965617448.0,29539310.0,118.52,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_high': 56.78, 'handle_low': 51.28, 'handle_depth_pct': 22.2, 'cup_depth_pct': 48.15, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': False}","{'vcp_contractions': 2, 'vcp_vol_declining': True, 'vcp_tight_range': 38.69, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(18.12), np.float64(22.08)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,13,0,中报,2026-08-31,"[7.96, 10.82, 15.0]","[4.68, -9.13, 135.1]","[2.39, -1.12, 8.55]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
002971,和远气体,C 制造业,深圳主板,True,2026-06-12,58.03,34.54,32.94,32.74,58.03,20.44,183.9,0.0,40.82,80.22,3325475350.0,57769076.0,118.0,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_high': 41.21, 'handle_low': 31.9, 'handle_depth_pct': 45.03, 'cup_depth_pct': 32.54, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': True}","{'vcp_contractions': 3, 'vcp_vol_declining': False, 'vcp_tight_range': 87.62, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(8.77), np.float64(18.48), np.float64(22.59)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,8,0,中报,2026-08-31,"[3.33, 8.55, 10.54]","[-0.05, -12.84, -24.5]","[4.85, 3.87, 4.75]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
003022,联泓新科,C 制造业,深圳主板,True,2026-06-12,25.31,23.71,21.3,21.08,27.49,14.8,71.01,-7.93,0.72,32.03,1065939455.0,41166165.0,117.07,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_high': 27.49, 'handle_low': 22.77, 'handle_depth_pct': 11.95, 'cup_depth_pct': 33.9, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': False}","{'vcp_contractions': 3, 'vcp_vol_declining': False, 'vcp_tight_range': 20.93, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(10.05), np.float64(10.07), np.float64(12.73)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,15,0,中报,2026-08-31,"[-8.02, 1.11, 45.93]","[37.18, 19.46, 147.38]","[5.24, 5.01, 8.19]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
603976,正川股份,Unknown,上海主板,True,2026-06-12,27.19,21.27,20.45,20.38,27.5,16.59,63.89,-1.13,28.32,37.53,337555551.0,12829620.0,116.87,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_high': 21.58, 'handle_low': 20.83, 'handle_depth_pct': 23.39, 'cup_depth_pct': 19.0, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': True}","{'vcp_contractions': 3, 'vcp_vol_declining': False, 'vcp_tight_range': 35.94, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(4.49), np.float64(7.72), np.float64(3.71)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,8,0,中报,2026-08-31,"[-24.92, -17.07, 29.12]","[-68.54, -64.5, -37.44]","[3.57, 2.85, 3.27]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
300747,锐科激光,C 制造业,创业板,True,2026-06-12,47.96,37.38,31.5,30.54,52.26,19.66,143.95,-8.23,28.82,83.05,3311780948.0,66188031.0,116.77,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_high': 39.39, 'handle_low': 36.18, 'handle_depth_pct': 25.94, 'cup_depth_pct': 36.58, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': False}","{'vcp_contractions': 3, 'vcp_vol_declining': False, 'vcp_tight_range': 47.46, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(17.27), np.float64(20.15), np.float64(10.49)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",True,15,0,中报,2026-08-31,"[6.67, 8.43, 20.06]","[3.69, 20.79, 136.81]","[5.15, 4.91, 5.03]","SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation; acceleration: rev+profit up, margin improving"
688689,银河微电,Unknown,科创板,True,2026-06-11,46.82,38.84,32.8,31.47,47.24,21.08,122.11,-0.89,11.29,74.64,352639797.0,7797188.0,116.11,"{'close_gt_ma50': True, 'close_gt_ma150': True, 'close_gt_ma200': True, 'ma50_gt_ma150': True, 'ma50_gt_ma200': True, 'ma150_gt_ma200': True, 'ma200_rising_1m': True, 'above_52w_low_30pct': True, 'within_25pct_52w_high': True, 'cup_handle_pattern': False, 'vcp_pattern': False, 'pullback_confirm': np.True_}","{'cup_high': 42.07, 'handle_low': 37.8, 'handle_depth_pct': 19.27, 'cup_depth_pct': 39.58, 'volume_contracting': False, 'near_rim': True, 'volume_breakout': True}","{'vcp_contractions': 2, 'vcp_vol_declining': False, 'vcp_tight_range': 28.02, 'vcp_vol_dry_up': False, 'vcp_ranges': [np.float64(9.23), np.float64(19.43)]}","{'ma10_pullback': True, 'ma50_pullback': False, 'volume_expanding': np.True_, 'price_above_ma10': True}",False,7,0,中报,2026-08-31,"[16.72, 15.46, 22.37]","[-9.45, 3.84, 299.53]","[5.27, 6.76, 5.5]",SEPA Stage 2: price above MA50/150/200; MA50>MA150>MA200; MA200 rising; price strong vs 52w range; pullback to MA with volume confirmation
